"fips","pre_covid_cases","post_covid_cases","pre_week_diff"
"31061",11,24,3
"36033",3,7,-1
"37069",67,126,-15
"39049",2150,3701,-88
"42055",116,294,-20
"47051",199,178,-69
"48159",9,52,-3
"50011",5,11,5
"51067",89,294,7
"53021",191,283,37
"51620",45,41,5
"24021",278,362,-16
"51069",76,127,2
"51630",29,21,3
"27047",83,109,-45
"48161",18,25,4
"08043",10,301,4
"16043",78,141,14
"19071",55,40,-13
"56013",101,427,9
"06019",1309,1867,45
"48163",309,9,-297
"31063",2,19,0
"05049",66,72,20
"13121",1167,2030,-293
"17057",60,258,14
"18049",20,105,4
"21075",24,24,6
"36035",14,8,0
"39051",80,181,44
"42057",10,26,4
"31065",8,32,-4
"12039",201,50,-13
"31067",89,165,17
"48165",43,112,-13
"51640",13,28,-1
"17059",7,12,5
"21077",3,15,-1
"30031",280,1137,72
"39053",32,60,8
"48167",337,617,19
"31069",1,27,1
"08045",50,166,-10
"30033",2,6,2
"31071",5,16,3
"40047",357,327,17
"49017",3,28,-1
"53023",1,10,1
"05051",278,383,24
"21079",25,125,1
"24023",4,53,0
"40049",59,163,5
"48169",2,8,2
"29073",19,71,-9
"37071",616,1164,88
"37073",35,9,-13
"20061",45,61,-5
"39055",39,162,13
"16045",73,62,23
"26049",543,1402,125
"36037",23,35,3
"01061",114,145,14
"29075",14,21,-10
"28039",45,106,7
"45043",72,246,8
"18051",135,202,7
"47053",329,232,-9
"04007",170,271,32
"12041",22,70,-6
"47055",115,167,41
"51071",17,30,-7
"48171",103,24,-95
"41021",1,1,-1
"13123",38,102,14
"54021",29,3,1
"08047",1,9,1
"30035",217,212,139
"12043",60,20,-2
"26051",18,78,10
"13125",2,10,0
"48173",2,2,0
"06021",58,41,0
"34015",492,459,70
"51073",23,25,15
"13127",120,173,-4
"26053",15,204,7
"30037",2,10,2
"38033",10,17,10
"48175",3,9,-1
"48177",236,43,-234
"51075",23,26,7
"27049",83,205,13
"16047",47,189,15
"13129",150,420,-34
"56015",32,34,18
"31073",8,7,2
"20063",56,51,40
"13131",54,40,8
"40051",381,233,-65
"33009",14,60,0
"04009",75,217,11
"20065",4,8,-4
"37075",61,20,31
"47057",75,132,13
"08049",5,27,5
"49019",2,39,0
"38035",339,1426,13
"50013",2,1,2
"26055",50,240,8
"30039",0,21,0
"05053",46,44,-6
"18053",142,340,20
"20067",96,81,-22
"21081",22,64,8
"22043",28,31,-4
"27051",7,25,3
"31075",0,3,0
"35017",25,35,-1
"38037",18,23,10
"40053",14,35,4
"41023",2,2,2
"46051",72,66,20
"53025",308,159,-94
"54023",11,21,7
"55043",428,445,-54
"37077",104,156,8
"26057",65,196,-5
"21083",47,77,-15
"20069",23,45,-1
"48179",45,117,11
"53027",139,92,-23
"21085",50,82,4
"48181",164,418,-6
"51077",30,44,0
"20071",3,17,-1
"31077",12,6,2
"21087",32,47,2
"55045",189,223,15
"55047",173,258,43
"54025",12,53,-4
"01063",9,17,-3
"05055",162,383,10
"13133",22,33,0
"17061",39,69,-1
"18055",26,119,0
"19073",32,31,-12
"28041",56,38,4
"29077",1861,1211,-115
"36039",7,46,1
"37079",129,145,103
"39057",283,691,45
"42059",28,47,-10
"47059",159,483,-25
"51079",16,33,6
"04011",1,33,1
"51081",54,37,-12
"21089",101,117,1
"45045",1101,1710,85
"20073",4,37,0
"45047",135,140,-33
"40055",10,25,-4
"48183",675,417,-427
"46053",64,69,-12
"28043",75,46,-17
"38039",16,25,-8
"48185",29,48,-7
"17063",80,248,4
"19075",36,81,-14
"29079",56,41,-18
"47061",128,112,-2
"35019",1,9,-1
"48187",1649,126,-1587
"72055",19,33,1
"72057",39,37,7
"72059",32,35,6
"72061",376,303,126
"39059",22,179,8
"37081",838,1484,-44
"12045",12,21,-4
"08051",1,17,1
"72063",138,132,24
"19077",64,64,-2
"13135",1514,1712,-82
"46055",12,42,4
"13137",191,83,-13
"02100",1,1,-1
"01065",44,54,24
"48189",133,419,9
"37083",113,231,19
"51083",57,104,1
"13139",840,590,8
"31079",99,383,23
"48191",14,8,-2
"47063",168,288,16
"12047",65,18,-27
"17065",17,40,-3
"18057",432,1041,40
"19079",26,67,2
"20075",2,16,0
"31081",28,49,-4
"36041",1,2,-1
"39061",960,2943,66
"47065",818,1481,58
"48193",35,25,17
"46057",24,57,18
"25013",381,1180,35
"25015",52,117,34
"54027",11,22,-1
"45049",76,29,-4
"51650",110,129,-4
"13141",11,4,3
"17067",48,75,10
"18059",63,226,11
"19081",33,113,19
"21091",19,49,1
"23009",1,17,1
"28045",54,144,-2
"39063",113,281,17
"47067",4,15,0
"54029",11,48,5
"46059",25,53,5
"51085",130,165,14
"48195",17,5,9
"46061",18,36,2
"13143",75,147,-9
"12049",114,95,-8
"47069",103,200,-17
"48197",6,4,4
"17069",10,9,-6
"19083",46,104,-10
"21093",192,568,-8
"39065",10,97,0
"47071",167,197,5
"48199",51,69,-1
"35021",0,0,0
"46063",1,38,-3
"54031",16,6,2
"24025",195,296,35
"21095",72,68,50
"31083",13,18,-3
"40057",2,14,4
"37085",373,348,-7
"41025",0,24,0
"20077",0,32,0
"40059",4,28,0
"13145",33,24,1
"48201",21910,8042,-14582
"18061",58,143,16
"19085",106,172,42
"21097",16,42,8
"28047",281,853,-9
"29081",18,33,10
"39067",7,20,3
"48203",57,111,-7
"54033",68,57,28
"51660",374,209,-122
"13147",51,39,7
"21099",25,213,1
"09003",671,1911,19
"48205",23,11,-3
"20079",33,168,-5
"20081",56,23,-30
"40061",52,49,-22
"48207",10,11,4
"72065",100,64,8
"15001",129,233,-11
"47073",114,243,12
"31085",NA,10,NA
"48209",243,720,1
"37087",57,65,5
"47075",131,161,15
"13149",11,38,5
"48211",2,22,0
"05057",35,87,11
"17071",10,41,4
